Original Attribute Name,Original Attribute Type,Original Attribute Definition,Parent Elements,NIEM Equivalent/Refined Attribute Name,NIEM Equivalent/Refined Attribute Type,NIEM Equivalent/ Refined Attribute Definition,Status,Comments
incorporated,string,To have or hold (explosives) within the UA,missionPayload,UxSIncorporatedExplosivesText,nc : TextType,Explosive(s) that are within or being held by a UxS,Initial refinement completed. Pending Tiger Team review.,
controlStation,object,An interface used by the remote pilot or the person controlling the operations and flight path of a UA,technicalCategorization,ControlStation,ControlStationType,An interface used by a remote pilot or a person controlling the operations and path of a UxS.,Initial refinement completed. Pending Tiger Team review.,
controlStationCommunicationSystem,object,The means that the Control System sends or receives information,controlStation,ControlStationCommunicationSystem,ControlStationCommunicationSystemType,The means by which a Control System sends or receives information.,Initial refinement completed. Pending Tiger Team review.,
rangeExtender,string,A wireless communication device which operates within a prescribed frequency range. It is used to extend the range of the UAS.,"controlStationCommunicationSystem, aircraftCommunicationsSystem",UxSRangeExtenderDescriptionText,nc : TextType,"A description of a wireless communication device, operating within a prescribed frequency range, used to extend the range of a UxS.",Initial refinement completed. Pending Tiger Team review.,
controlStationAntenna,string,A device designed to facilitate the transmission and/or reception of electromagnetic radiation for the Control Station,controlStationCommunicationSystem,ControlStationAntennaText,nc:TextType,A device designed to facilitate the transmission and/or reception of electromagnetic radiation for a Control Station.,Initial refinement completed. Pending Tiger Team review.,
controlStationTransceiver,string,"A device containing electrical circuits used to both generate and transmit, receive and interpret, electromagnetic waves that carry data signals to and from the Control Station",controlStationCommunicationSystem,ControlStationTransceiverText,nc : TextType,"A device containing electrical circuits used to generate, transmit, receive, and interpret electromagnetic waves that carry data signals to and from a Control Station.",Initial refinement completed. Pending Tiger Team review.,
interface,string,The point of communication between an operator and the Control Station,controlStation,UxSInterfaceText,nc : TextType,The point of communication between an operator and the Control Station.,Initial refinement completed. Pending Tiger Team review.,
display,string,"A device, usually an electronic screen, used for the visual presentation of information",controlStation,DisplayDeviceText,nc : TextType,Kind of device used for the visual presentation of information.,Initial refinement completed. Pending Tiger Team review.,
powerSources,object,The fuel or battery used to propel the UA and operate its onboard systems. May apply to one or more components common to the UAS.,technicalCategorization,UxSPowerSource,PowerSourceType,The fuel or battery used to propel the UxS and operate its onboard systems. May apply to one or more components common to the UxS.,Initial refinement completed. Pending Tiger Team review.,
energyStorage,object,Method in which energy is stored and supplied to a system,powerSources,UxSEnergyStorageCode,UxSEnergyStorageCodeType,A code for the method in which energy is stored and supplied to a UxS.,Initial refinement completed. Pending Tiger Team review.,
battery,string,A group of two or more cells connected together to furnish electric current,energyStorage,BatteryProcessDescription,xs:string,A description of an electrochemical device that stores and releases electrical energy through chemical reactions.,Initial refinement completed. Pending Tiger Team review.,
liquidFuel,string,"A fuel that is stored in a liquid state, the fumes of which are used for combustion",energyStorage,LiquidFuelText,nc : TextType,"A fuel that is stored in a liquid state, the fumes of which are used for combustion.",Initial refinement completed. Pending Tiger Team review.,
alternativePowerSource,string,Also known as Alternative Energy Source; encompasses all those energy (or power) sources that do not consume fossil fuel,energyStorage,AlternativePowerSource,PowerSourceType,A description of an energy or power source that does not consume fossil fuel.,Initial refinement completed. Pending Tiger Team review.,
powerRegulation,string,,powerSources,,,,Needs to be refined by Tiger Team.,
aircraftCommunicationSystem,object,"A system that provides the UA with the two-way communication links between the aircraft and the control stations for navigation and control, including air route traffic control",technicalCategorization,AircraftCommunicationSystem,AircraftCommunicationSystemType,"A system that provides a UAS with the two-way communication links between the aircraft and the control stations for navigation and control, including air route traffic control.",Initial refinement completed. Pending Tiger Team review.,
transmitter,string,A set of equipment used to generate and transmit electromagnetic waves carrying messages or signals to and from the UA to the Control Station,aircraftCommunicationsSystem,UxSTransmitterDescriptionText,nc : TextType,A description of the particular set of equipment used to generate and transmit electromagnetic waves carrying messages or signals to and from a UxS to a Control Station.,Initial refinement completed. Pending Tiger Team review.,
uasReceiver,string,Part of the radio-control gear inside the aircraft or Control Station receiving radio signals emitted by the transmitter,aircraftCommunicationsSystem,UxSReceiverDescriptionText,nc : TextType,A description of the part of the radio-control gear inside a UxS or Control Station receiving radio signals emitted by a transmitter.,Initial refinement completed. Pending Tiger Team review.,
transceiver,string,"A device that performs, within one chassis, both transmitting and receiving functions",aircraftCommunicationsSystem,UxSTranscieverDescriptionText,nc : TextType,"A description of a device within a UxS or Control Station that performs, within one chassis, both transmitting and receiving functions.",Initial refinement completed. Pending Tiger Team review.,
antenna,string,Any structure or device used to collect or radiate electromagnetic waves,aircraftCommunicationsSystem,usmtf:AntennaeCode,usmtf : AntennaeCodeType,A description of the type of antenna.,Mapped to existing NIEMOpen attribute.,
dataLinks,integer,"All interconnections to, from, and within the UAS, including control, communication, and payload links.",aircraftCommunicationsSystem,usmtf:AircraftDataLinkAddressID,usmtf : Integer000To127Type,An identifier for the data link address of the aircraft representing the source/destination of the message.,Mapped to existing NIEMOpen attribute.,
commandAndControlLinks,,,aircraftCommunicationsSystem,CommandAndControlLinks,xs:string,"A description of the two-way communication links between an aircraft and a control station, used for command and control.",Initial refinement completed. Pending Tiger Team review.,
videoDownlinks,string,Video communication that originates from the satellite to the ground.,aircraftCommunicationsSystem,UxSVideoDownlinksDescriptionText,nc:TextType,Description of any video communication that originates from a UxS to the ground.,Initial refinement completed. Pending Tiger Team review.,
modifications,object,"Any alterations or additions to the internal and external physical characteristics of the UAS (software, hardware, airframe, etc.)",technicalCategorization,UxSModification,UxSModificationType,"An alteration or addition to the internal and external physical characteristics of a UxS (software, hardware, airframe, etc.).",Initial refinement completed. Pending Tiger Team review.,
propulsionModification,string,A change made to the propulsion system of a UAS,modifications,,,,Needs to be refined by Tiger Team.,
airframeModification,string,A change made to the airframe of a UAS,modifications,AirframeModificationText,nc : TextType,A modification made to an airframe.,Initial refinement completed. Pending Tiger Team review.,
fcsModification,string,A change made to the flight control system of a UAS,modifications,FlightControlSystemModificationText,nc : TextType,A description of a change made to the flight control system of a UAS.,Initial refinement completed. Pending Tiger Team review.,
missionPayloadModification,string,A change made to the mission payload of a UAS,modifications,,,,Needs to be refined by Tiger Team.,
controlStationModification,string,A change made to a control station for a UAS,modifications,ControlStationModificationText,nc : TextType,A change made to a UxS control station.,Initial refinement completed. Pending Tiger Team review.,
powerSourceModification,string,A change made to the power source of a UAS,modifications,,,,Needs to be refined by Tiger Team.,
CemUID,string,Collected Exploitable Material Unique Identifier,collection,CemUID,niem-xs: string,A unique identifier for a piece of collected exploitable material (CEM).,Initial refinement completed. Pending Tiger Team review.,
