Original Attribute Name,Original Attribute Type,Original Attribute Definition,Parent Elements,NIEM Equivalent/Refined Attribute Name,NIEM Equivalent/Refined Attribute Type,NIEM Equivalent/Refined Attribute Definition,Status,Comments
armingSwitch,boolean,A switch that prevents an IED from arming until an acceptable set of criteria has occurred and subsequently effects arming and allows functioning,switch,SwitchArmingCriteriaIndicator,niem-xs:Boolean,True if the switch prevents an IED from arming until an acceptable set of criteria has occurred; false otherwise.,Initial refinement completed. Pending Tiger Team review.,
command,object,A type of switch that is activated by the attacker in order to control the moment of initiation.,switch,CommandSwitch,IEDSwitchType,A switch that is activated by the attacker in order to control the moment of initiation.,Initial refinement completed. Pending Tiger Team review.,
commandWire,string,A switch where the firing point and contact point are separate but joined together by a length of wire. A Command Wire may contain multiple power sources located near both the firing point and the contact point to overcome the resistance in the length of the wire.,command,CommandWireSwitch,nc:TextType,A switch where the firing point and contact point are separate but joined together by a length of wire. ,Initial refinement completed. Pending Tiger Team review.,
pull,string,A switch that functions when a person applies tension to a firing mechanism – such as pulling a spring. The tension causes an action that releases a firing pin or activates an electrical or electronic switch.,command,,,,Needs to be refined by Tiger Team.,
radioControlled,object,A switch initiated electronically by wireless means consisting of a transmitter / receiver,command,,,,Needs to be refined by Tiger Team.,
withDTMF,boolean,"Dual-Tone Multi-Frequency; A pairing of transmitter and receiver using dual tones and multiple frequency signaling that allows for precision arming and firing, thus preventing unintended firing.",radioControlled,,,,Needs to be refined by Tiger Team.,
consumerElectronics,string,"Electronic components, readily available in the consumer marketplace, and not specifically identified in the RC schema (not purpose built for telecommunications purposes)",radioControlled,commodity:ElectronicEquipmentCategoryCode,commodity : ElectronicEquipmentCategoryCodeType,A kind of electronic equipment.,Mapped to existing NIEMOpen attribute.,
handHeldRadio,string,"Type of handheld radio used in radio controlled command switch, such as a PMR or radio transciever",radioControlled,HandHeldRadioDescriptionText,nc : TextType,"A description of a handheld radio used in a radio controlled command switch, such as a PMR or radio transciever.",Initial refinement completed. Pending Tiger Team review.,
nonHandHeldRadio,string,"Type of non-handheld radio used in a radio controlled command switch, such as a taxi radio or trunk mount radio",radioControlled,,,,Needs to be refined by Tiger Team.,
cordlessPhone,string,"Type of cordless phone used in a radio controlled command switch, such as a Long Range Cordless Telephone (LRCT) or High Power Cordless Phone (HPCP)",radioControlled,CordlessPhoneText,nc : TextType,A kind of cordless phone used in a radio controlled command switch.,Initial refinement completed. Pending Tiger Team review.,
mobilePhoneCategory,string,"Type of mobile phone used in a radio controlled command switch, such as a GSM or CDMA",radioControlled,,,,Needs to be refined by Tiger Team.,
customRC,string,A purpose built radio controlled circuit board,radioControlled,CustomRadioControlledCircuitBoardText,nc : TextType,A description of a purpose built radio controlled circuit board used in a radio controlled command switch.,Initial refinement completed. Pending Tiger Team review.,
timeSwitch,object,A type of switch that functions after a set time.,switch,,,,Needs to be refined by Tiger Team.,
timeMechanical,object,A timing switch constructed or modified so that physical contact between two parts of the timing mechanism complete an electrical circuit.,time,,,,Needs to be refined by Tiger Team.,
clockMechanism,string,The internal working parts of a clock used in an improvised manner to function an IED.,timeMechanical,IEDClockMechanismPart,nc:TextType,The internal working parts of a clock used in an improvised manner to function an IED.,Initial refinement completed. Pending Tiger Team review.,
materialFatigue,string,,timeMechanical,,,,Needs to be refined by Tiger Team.,
timeChemical,object,A chemical timing switch using a corrosive chemical with a known decomposition rate that is designed to destroy a physical restraint on a triggering device to start the initiation train.,time,,,,Needs to be refined by Tiger Team.,
chemicalReaction,string,A switch using the reaction of chemical compounds to provide a delay before starting the initiation train.,timeChemical,ChemicalReactionDelaySwitchText,nc:TextType,Description of a switch using the reaction of chemical compounds to provide a delay before starting the initiation train.,Initial refinement completed. Pending Tiger Team review.,
pyrotechnicDelay,string,A pyrotechnic device added to a firing system which transmits the ignition flame after a predetermined delay.,timeChemical,,,,Needs to be refined by Tiger Team.,
timeElectronic,object,A timing switch using a commercial or improvised electric timer or integrated circuit to start the initiation train,time,,,,Needs to be refined by Tiger Team.,
clockCategory,string,Whether the clock is analog or digital,timeElectronic,ClockCategory,ClockCategoryType,A category of clock.,Initial refinement completed. Pending Tiger Team review.,
